,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
85,シリーズ書籍一覧 38冊を配信中 ,25471,38,  板垣恵介  ,,  秋田書店  ,週刊少年チャンピオン, 少年マンガ 長編マンガ/少年マンガ/アクション/週刊少年チャンピオン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/AKS08560.jpg?20181127190306,https://www.ebookjapan.jp/ebj/25471/,,0,有料,
86,シリーズ書籍一覧 43冊を配信中 ,13674,43,  藤田和日郎  ,,  小学館  ,少年サンデー, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ヒーロー/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SCX23360.jpg?20181130193302,https://www.ebookjapan.jp/ebj/13674/,,0,有料,
87,【完結済み】BLEACH モノクロ版　1巻,132455,79,  久保帯人  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 長編マンガ/少年マンガ/アクション/ファンタジー/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR539960.jpg?20180705123104,https://www.ebookjapan.jp/ebj/132455/,,5,有料,
88,シリーズ書籍一覧 95冊を配信中 ,19817,95,  青山剛昌  ,,  小学館  ,少年サンデー, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ヒーロー/探偵・刑事/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/W7100046622361.jpg?20181101143537,https://www.ebookjapan.jp/ebj/19817/,,0,有料,
89,シリーズ書籍一覧 32冊を配信中 ,18376,32,  高屋良樹  ,,  KADOKAWA / 角川書店  ,角川コミックス・エース, 少年マンガ 長編マンガ/少年マンガ/ＳＦ/アクション/ファンタジー/角川コミックス・エース/KADOKAWA/KADOKAWA / マンガ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/G6100011215961.jpg?20181204213023,https://www.ebookjapan.jp/ebj/18376/,,0,有料,
90,シリーズ書籍一覧 47冊を配信中 ,23647,47,  勝木光  ,,  講談社  ,週刊少年マガジン, 少年マンガ 長編マンガ/少年マンガ/スポーツ/週刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD667160.jpg?20181022173934,https://www.ebookjapan.jp/ebj/23647/,,0,有料,
91,シリーズ書籍一覧 27冊を配信中 ,154706,27,  荒川弘  ,,  スクウェア・エニックス  ,月刊少年ガンガン, 少年マンガ ベストセラー/少年マンガ/アクション/ファンタジー/月刊少年ガンガン/「ガンガン」記念特別小冊子,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/EX000160.jpg?20180530133310,https://www.ebookjapan.jp/ebj/154706/,,0,有料,
92,シリーズ書籍一覧 34冊を配信中 ,168093,34,  鈴木央  ,,  講談社  ,週刊少年マガジン, 少年マンガ 少年マンガ/アクション/ファンタジー/週刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/T5100048902061.jpg?20181214173922,https://www.ebookjapan.jp/ebj/168093/,,0,有料,
93,シリーズ書籍一覧 27冊を配信中 ,2841,27,  ,武論尊　画：原　哲夫  ,  ノース・スターズ・ピクチャーズ  ,, 少年マンガ ベストセラー/長編マンガ/少年マンガ/青年マンガ/アクション/ハードボイルド/ヒーロー/【NSP】/昭和の名作1980年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HKEN0160.jpg?20180912173516,https://www.ebookjapan.jp/ebj/2841/,,0,有料,
94,【完結済み】NARUTO―ナルト― モノクロ版　1巻,132083,77,  岸本斉史  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR021360.jpg?20171214133207,https://www.ebookjapan.jp/ebj/132083/,,5,有料,
95,シリーズ書籍一覧 36冊を配信中 ,134625,36,  冨樫義博  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ファンタジー/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/O5100043206961.jpg?20181003132718,https://www.ebookjapan.jp/ebj/134625/,,0,有料,
96,週刊少年マガジン　2019年 2・3号[2018年12月12日発売],276547,14,  週刊少年マガジン編集部  ,,  講談社  ,週刊少年マガジン, 男性マンガ誌 少年マンガ/個性派/週刊少年マガジン/マンガ雑誌/マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I9100050447761.jpg?20181211171523,https://www.ebookjapan.jp/ebj/276547/volume193/,,1,有料,
97,シリーズ書籍一覧 58冊を配信中 ,24047,58,  渡辺航  ,,  秋田書店  ,週刊少年チャンピオン, 少年マンガ 少年マンガ/スポーツ/学園/週刊少年チャンピオン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/Q9100043447261.jpg?20181004213025,https://www.ebookjapan.jp/ebj/24047/,,0,有料,
98,シリーズ書籍一覧 60冊を配信中 ,4076,60,  横山　光輝  ,,  潮出版社  ,希望コミックス, 少年マンガ ベストセラー/長編マンガ/少年マンガ/青年マンガ/ヒーロー/歴史/学習マンガ/希望コミックス/鉄・人・影　横山光輝生誕80周年記念読本掲載作品/昭和の名作1970年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SGSI0160.jpg?20170420185809,https://www.ebookjapan.jp/ebj/4076/,,0,有料,
99,【最新刊】ONE PIECE モノクロ版　90巻,132082,96,  尾田栄一郎  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ファンタジー/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/O0100043150661.jpg?20181003132717,https://www.ebookjapan.jp/ebj/132082/,,6,有料,
