,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
26,シリーズ書籍一覧 12冊を配信中 ,160808,12,  ,HERO　作画：萩原ダイスケ  ,  スクウェア・エニックス  ,月刊Gファンタジー, 少女マンガ 少女コミック/少女コミック ラブコメ/少女コミック 学園/月刊Gファンタジー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/X4100036291561.jpg?20180614124132,https://www.ebookjapan.jp/ebj/160808/,,0,有料,
27,【最新刊】【無料】ビーボーイ旬コミ Summer2018,243426,14,  かみしまあきら / 霧間もっこり / 猿和香ちみ / ゆん  ,,  ビーボーイ編集部  ,ビーボーイ編集部, ボーイズラブコミック 少女コミック/少女コミック ラブストーリー/少女コミック ボーイズラブコミック/R./リブレ出版のアンソロジー/旬コミ/ビーボーイ編集部,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/Y1100038969061.jpg?20180927154910,https://www.ebookjapan.jp/ebj/243426/,,14,有料,
28,【最新刊】NANA―ナナ―　21巻,132118,25,  矢沢あい  ,,  集英社  ,Cookie, 少女マンガ 長編マンガ/少女コミック/少女コミック ラブストーリー/少女コミック ドラマ/少女コミック 個性派/少女コミック 仕事/Cookie/りぼんマスコットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR446660.jpg?20171117193645,https://www.ebookjapan.jp/ebj/132118/,,4,有料,
29,シリーズ書籍一覧 12冊を配信中 ,337568,12,  やまもり三香  ,,  集英社  ,マーガレット, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 学園/少女コミック 仕事/マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/T1100048862561.jpg?20181121151439,https://www.ebookjapan.jp/ebj/337568/,,0,有料,
30,シリーズ書籍一覧 9冊を配信中 ,171864,9,  魚ともみ  ,,  ビーボーイ編集部  ,eビーボーイコミックス, ボーイズラブコミック 少女コミック/少女コミック ラブストーリー/少女コミック ボーイズラブコミック/R./eビーボーイコミックス/★BLランキング手帖掲載作品★/ビーボーイ編集部/【BL】低価格本,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/T1100001990661.jpg?20180908213940,https://www.ebookjapan.jp/ebj/171864/,,0,有料,
31,麗人uno！ Vol.86　ぺちょぺちょ,23263,7,  著：さきしたせんむ　著：五月女えむ　著：相音きう  ,,  竹書房  ,麗人, ボーイズラブ雑誌 少女コミック/少女コミック ボーイズラブコミック/麗人/R./BL雑誌・アンソロジー/麗人uno!,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/W2100049172561.jpg?20181130182917,https://www.ebookjapan.jp/ebj/23263/volume264/,,0,有料,
32,シリーズ書籍一覧 16冊を配信中 ,255053,16,  よしながふみ  ,,  白泉社  ,MELODY, 少女マンガ 少女コミック/少女コミック ドラマ/少女コミック 歴史/少女コミック 時代劇/MELODY/JETS COMICS,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/O7100045820161.jpg?20181026173047,https://www.ebookjapan.jp/ebj/255053/,,0,有料,
33,シリーズ書籍一覧 10冊を配信中 ,19363,10,  みきもと凜  ,,  講談社  ,別冊フレンド, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック 学園/別冊フレンド,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD549460.jpg?20181101171450,https://www.ebookjapan.jp/ebj/19363/,,0,有料,
34,【最新刊】春待つ僕ら　（11）【特典ペーパー付】,254997,28,  あなしん  ,,  講談社  ,デザート, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック 学園/デザート,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/V4100049096261.jpg?20181212163600,https://www.ebookjapan.jp/ebj/254997/,,19,有料,
35,【完結済み】ホタルノヒカリ　1巻,8786,15,  ひうらさとる  ,,  講談社  ,Kiss, 女性マンガ ベストセラー/少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック ヒーロー・ヒロイン/少女コミック 仕事/レディースコミック ラブストーリー/レディースコミック ラブコメ/レディースコミック 仕事/Kiss,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HOTAH160.jpg?20181212163612,https://www.ebookjapan.jp/ebj/8786/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49017623,3,無料,2018/12/26
36,別冊フレンド　2019年1月号[2018年12月13日発売],28956,49,  別冊フレンド編集部  ,,  講談社  ,別冊フレンド, 女性マンガ誌 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック 学園/別冊フレンド/マンガ雑誌/コミック誌（女性）,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/H9100050340361.jpg?20181212163600,https://www.ebookjapan.jp/ebj/28956/volume49/,,4,有料,
37,シリーズ書籍一覧 24冊を配信中 ,173483,24,  稚野鳥子  ,,  集英社  ,Cookie, 少女マンガ 少女コミック/レディースコミック/少女コミック ラブストーリー/少女コミック 仕事/レディースコミック ラブストーリー/レディースコミック 仕事/Cookie/コーラス/マーガレットコミックスDIGITAL/ぶ～け,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR563060.jpg?20171117213044,https://www.ebookjapan.jp/ebj/173483/,,0,有料,
38,【最新刊】ＰとＪＫ　13巻,170478,13,  三次マキ  ,,  講談社  ,別冊フレンド, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/別冊フレンド,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/V4100049096361.jpg?20181212163600,https://www.ebookjapan.jp/ebj/170478/,,2,有料,
