,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
106,シリーズ書籍一覧 35冊を配信中 ,132458,35,  柴田ヨクサル  ,,  集英社  ,週刊ヤングジャンプ, 青年マンガ 長編マンガ/青年マンガ/仕事/ギャンブル/週刊ヤングジャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR549160.jpg?20180212213527,https://www.ebookjapan.jp/ebj/132458/,,0,有料,
107,シリーズ書籍一覧 22冊を配信中 ,5677,22,  横山　光輝  ,,  潮出版社  ,希望コミックス, 少年マンガ ベストセラー/長編マンガ/少年マンガ/青年マンガ/ヒーロー/歴史/学習マンガ/希望コミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/INSH0160.jpg?20171221134310,https://www.ebookjapan.jp/ebj/5677/,,0,有料,
108,シリーズ書籍一覧 15冊を配信中 ,8424,15,  横山　光輝  ,, ,, 少年マンガ ベストセラー/長編マンガ/少年マンガ/青年マンガ/歴史/時代劇/戦争,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/YOK10360.jpg?20171221202035,https://www.ebookjapan.jp/ebj/8424/,,0,有料,
109,シリーズ書籍一覧 41冊を配信中 ,12416,41,  画：本庄敬　作：末田雄一郎  ,,  実業之日本社  ,マンサンコミックス, 青年マンガ 青年マンガ/人情/仕事/料理/マンサンコミックス/帰ってきた漫画サンデー掲載作品,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/JNN05060.jpg?20180929213028,https://www.ebookjapan.jp/ebj/12416/,,0,有料,
110,シリーズ書籍一覧 46冊を配信中 ,16781,46,  作：天王寺大　画：渡辺みちお  ,,  日本文芸社  ,ニチブンコミックス, 青年マンガ 長編マンガ/青年マンガ/アクション/ハードボイルド/ニチブンコミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/NBS60960.jpg?20180913165518,https://www.ebookjapan.jp/ebj/16781/,,0,有料,
111,シリーズ書籍一覧 42冊を配信中 ,17198,42,  楠みちはる  ,,  講談社  ,ヤングマガジン, 青年マンガ 長編マンガ/青年マンガ/アクション/メカニック/ヤングマガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD505360.jpg?20181108174745,https://www.ebookjapan.jp/ebj/17198/,,0,有料,
112,シリーズ書籍一覧 96冊を配信中 ,12123,96,  ,来賀友志　劇画：嶺岸信明  ,  日本文芸社  ,ニチブンコミックス, 青年マンガ 長編マンガ/青年マンガ/ギャンブル/ニチブンコミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/D2100044670361.jpg?20181018143230,https://www.ebookjapan.jp/ebj/12123/,,0,有料,
113,シリーズ書籍一覧 13冊を配信中 ,27783,13,  雨蘭  ,,  白泉社  ,ヤングアニマル嵐, 青年マンガ 青年マンガ/ラブストーリー/ラブコメ/学園/JETS COMICS/ヤングアニマル嵐,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS46660.jpg?20180828233115,https://www.ebookjapan.jp/ebj/27783/,,0,有料,
114,シリーズ書籍一覧 32冊を配信中 ,11812,32,  大島やすいち　原案：池波正太郎  ,,  リイド社  ,SPコミックス, 青年マンガ 青年マンガ/アクション/人情/仕事/時代劇/SPコミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/M2100045579361.jpg?20181026173046,https://www.ebookjapan.jp/ebj/11812/,,0,有料,
115,シリーズ書籍一覧 48冊を配信中 ,5520,48,  望月三起也  ,, ,, 少年マンガ ベストセラー/長編マンガ/少年マンガ/青年マンガ/ヒーロー/探偵・刑事/原点　少年画報社創業70周年記念読本掲載作品/昭和の名作1960年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/MOC00160.jpg?20180219213015,https://www.ebookjapan.jp/ebj/5520/,,0,有料,
116,シリーズ書籍一覧 7冊を配信中 ,242413,7,  著：つくしあきひと  ,,  竹書房  ,BAMBOO COMICS, 青年マンガ 青年マンガ/ＳＦ/アクション/ファンタジー/メカニック/BAMBOO COMICS,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/B0100039259861.jpg?20181213140523,https://www.ebookjapan.jp/ebj/242413/,,0,有料,
117,シリーズ書籍一覧 33冊を配信中 ,25889,33,  なかいま強  ,,  小学館  ,ビッグコミック, 青年マンガ 長編マンガ/青年マンガ/ギャグ・コメディー/スポーツ/ビッグコミック,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX475160.jpg?20181129174040,https://www.ebookjapan.jp/ebj/25889/,,0,有料,
118,シリーズ書籍一覧 18冊を配信中 ,129699,18,  森恒二  ,,  白泉社  ,ヤングアニマル, 青年マンガ 青年マンガ/アクション/ヤングアニマル/JETS COMICS,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS80760.jpg?20180802190127,https://www.ebookjapan.jp/ebj/129699/,,0,有料,
119,シリーズ書籍一覧 12冊を配信中 ,262279,12,  あずみきし  ,,  新潮社  ,BUNCH COMICS, 青年マンガ 青年マンガ/BUNCH COMICS,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E5100047402861.jpg?20181108160843,https://www.ebookjapan.jp/ebj/262279/,,0,有料,
120,シリーズ書籍一覧 27冊を配信中 ,2296,27,  ,小池一夫　画：井上紀良  , ,, 青年マンガ ベストセラー/長編マンガ/青年マンガ/アクション/探偵・刑事,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/MB340160.jpg?20180211213700,https://www.ebookjapan.jp/ebj/2296/,,0,有料,
121,シリーズ書籍一覧 16冊を配信中 ,27564,16,  松本光司  ,,  講談社  ,ヤングマガジン, 青年マンガ ベストセラー/青年マンガ/アクション/ミステリー・ホラー/ヤングマガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD767760.jpg?20181115201726,https://www.ebookjapan.jp/ebj/27564/,,0,有料,
122,シリーズ書籍一覧 24冊を配信中 ,19152,24,  田島昭宇×大塚英志  ,,  KADOKAWA / 角川書店  ,角川コミックス・エース, 青年マンガ 青年マンガ/ミステリー・ホラー/角川コミックス・エース/KADOKAWA/KADOKAWA / マンガ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KDK57860.jpg?20180924213408,https://www.ebookjapan.jp/ebj/19152/,,0,有料,
123,シリーズ書籍一覧 13冊を配信中 ,9136,13,  平松伸二  ,,  グループ・ゼロ  ,マンガの金字塔, 少年マンガ 長編マンガ/少年マンガ/青年マンガ/アクション/社会派/マンガの金字塔,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/GRZ45660.jpg?20181005233157,https://www.ebookjapan.jp/ebj/9136/,,0,有料,
124,シリーズ書籍一覧 15冊を配信中 ,277381,15,  ,森高夕次　漫画：アダチケイジ  ,  講談社  ,モーニング, 青年マンガ 青年マンガ/スポーツ/仕事/モーニング,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KA595260.jpg?20181025172856,https://www.ebookjapan.jp/ebj/277381/,,0,有料,
125,シリーズ書籍一覧 24冊を配信中 ,3091,24,  弘兼憲史  ,,  講談社  ,ヤングマガジン, 青年マンガ ベストセラー/長編マンガ/青年マンガ/アクション/人情/仕事/探偵・刑事/ヤングマガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HALO0160.jpg?20181019213029,https://www.ebookjapan.jp/ebj/3091/,,0,有料,
126,シリーズ書籍一覧 17冊を配信中 ,8548,17,  永井豪  ,,  【イーブックイニシアティブジャパン】  ,, 少年マンガ 長編マンガ/少年マンガ/青年マンガ/ＳＦ/アクション/ファンタジー/ヒーロー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/DYN20560.jpg?20180827170243,https://www.ebookjapan.jp/ebj/8548/,,0,有料,
127,シリーズ書籍一覧 17冊を配信中 ,18973,17,  かわぐちかいじ  ,,  小学館  ,ビッグコミック, 青年マンガ 長編マンガ/青年マンガ/アクション/ヒーロー/社会派/人情/ビッグコミック,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX179360.jpg?20181129174040,https://www.ebookjapan.jp/ebj/18973/,,0,有料,
128,シリーズ書籍一覧 21冊を配信中 ,12088,21,  作：天王寺大　画：渡辺みちお  ,,  日本文芸社  ,ニチブンコミックス, 青年マンガ 長編マンガ/青年マンガ/アクション/ハードボイルド/ニチブンコミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/NBS08760.jpg?20180912213026,https://www.ebookjapan.jp/ebj/12088/,,0,有料,
129,シリーズ書籍一覧 9冊を配信中 ,7143,9,  本宮ひろ志  ,,  サード・ライン  ,俺の空, 少年マンガ ベストセラー/少年マンガ/青年マンガ/ラブストーリー/ハードボイルド/ヒーロー/学園/俺の空/昭和の名作1970年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/MOT03160.jpg?20181208213018,https://www.ebookjapan.jp/ebj/7143/,,0,有料,
130,シリーズ書籍一覧 18冊を配信中 ,28016,18,  小山ゆう  ,,  小学館  ,ビッグコミックスペリオール, 青年マンガ 長編マンガ/青年マンガ/アクション/歴史/時代劇/ビッグコミックスペリオール,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX514960.jpg?20181017111137,https://www.ebookjapan.jp/ebj/28016/,,0,有料,
131,シリーズ書籍一覧 15冊を配信中 ,206070,15,  松浦だるま  ,,  講談社  ,イブニング, 青年マンガ 青年マンガ/少女コミック/ミステリー・ホラー/少女コミック ドラマ/少女コミック ミステリー・ホラー/イブニング,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KA188360.jpg?20181129174041,https://www.ebookjapan.jp/ebj/206070/,,0,有料,
132,シリーズ書籍一覧 7冊を配信中 ,15018,7,  押見修造  ,,  双葉社  ,漫画アクション, 青年マンガ 青年マンガ/ラブストーリー/ミステリー・ホラー/漫画アクション,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/FUT84060.jpg?20180831190730,https://www.ebookjapan.jp/ebj/15018/,,0,有料,
133,シリーズ書籍一覧 15冊を配信中 ,237609,15,  こばやしひよこ  ,,  講談社  ,ヤングマガジン, 青年マンガ 青年マンガ/ギャグ・コメディー/スポーツ/学園/ヤングマガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/C0100039354861.jpg?20180924213712,https://www.ebookjapan.jp/ebj/237609/,,0,有料,
134,シリーズ書籍一覧 16冊を配信中 ,24330,16,  北条司  ,,  ノース・スターズ・ピクチャーズ  ,月刊コミックゼノン, 青年マンガ 青年マンガ/アクション/ラブコメ/ヒーロー/探偵・刑事/月刊コミックゼノン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/AH2S0160.jpg?20180614163838,https://www.ebookjapan.jp/ebj/24330/,,0,有料,
135,シリーズ書籍一覧 38冊を配信中 ,4568,38,  ,小池一夫　画：叶精作  , ,, 青年マンガ ベストセラー/長編マンガ/青年マンガ/ハードボイルド/ヒーロー/スポーツ/仕事,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/TAIC0160.jpg?20180309213030,https://www.ebookjapan.jp/ebj/4568/,,0,有料,
136,【最新刊】【デジタル版限定特典付き】ゴブリンスレイヤー　6巻,379017,6,  ,蝸牛くも（GA文庫／ＳＢクリエイティブ刊）　作画：黒瀬浩介　キャラクター原案：神奈月昇  ,  スクウェア・エニックス  ,月刊ビッグガンガン, 青年マンガ 青年マンガ/アクション/ファンタジー/月刊ビッグガンガン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/K2100050579461.jpg?20181212163601,https://www.ebookjapan.jp/ebj/379017/,,1,有料,
137,シリーズ書籍一覧 9冊を配信中 ,266834,9,  著者：フジカワユカ　,理不尽な孫の手　キャラクター原案：シロタカ  ,  KADOKAWA / メディアファクトリー  ,MFコミックス　フラッパーシリーズ, 青年マンガ 青年マンガ/ファンタジー/MFコミックス　フラッパーシリーズ/KADOKAWA/KADOKAWA / マンガ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E2100044776761.jpg?20181022155944,https://www.ebookjapan.jp/ebj/266834/,,0,有料,
138,シリーズ書籍一覧 5冊を配信中 ,339609,5,  渡邊ダイスケ  ,,  少年画報社  ,ヤングキング, 青年マンガ 青年マンガ/仕事/ヤングキング,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/J7100008913661.jpg?20180211213812,https://www.ebookjapan.jp/ebj/339609/,,0,有料,
139,ＳＴＥＥＬ　ＢＡＬＬ　ＲＵＮ　スティール・ボール・ラン【カラー版】　1巻,145283,24,  荒木飛呂彦  ,,  集英社  ,ウルトラジャンプ, 少年マンガ ベストセラー/長編マンガ/青年マンガ/アクション/ウルトラジャンプ/ジャンプコミックスDIGITAL/集英社カラー版/ジョジョの奇妙な冒険 カラー版/フルカラー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR246060.jpg?20171204230127,https://www.ebookjapan.jp/ebj/145283/volume101/,,0,有料,
140,もうすぐ発売予定のシリーズ書籍,11969,43,  ラズウェル細木  ,,  日本文芸社  ,ニチブンコミックス, 青年マンガ 長編マンガ/青年マンガ/実用・エッセイ/料理/ニチブンコミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I8100037433761.jpg?20180619173527,https://www.ebookjapan.jp/ebj/11969/,,0,有料,
141,シリーズ書籍一覧 10冊を配信中 ,311826,10,  柳本光晴  ,,  小学館  ,ビッグコミックスペリオール, 青年マンガ 青年マンガ/個性派/学園/ビッグコミックスペリオール,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/S6100041012861.jpg?20181017233033,https://www.ebookjapan.jp/ebj/311826/,,0,有料,
